Name                                                                                                         Stmts   Miss  Cover
--------------------------------------------------------------------------------------------------------------------------------
__init__.py                                                                                                      0      0   100%
env/lib/python3.6/site-packages/amqp/__init__.py                                                                20      0   100%
env/lib/python3.6/site-packages/amqp/abstract_channel.py                                                        95     77    19%
env/lib/python3.6/site-packages/amqp/basic_message.py                                                           16      6    62%
env/lib/python3.6/site-packages/amqp/channel.py                                                                211    146    31%
env/lib/python3.6/site-packages/amqp/connection.py                                                             276    197    29%
env/lib/python3.6/site-packages/amqp/exceptions.py                                                              75     16    79%
env/lib/python3.6/site-packages/amqp/five.py                                                                     5      0   100%
env/lib/python3.6/site-packages/amqp/method_framing.py                                                          95     82    14%
env/lib/python3.6/site-packages/amqp/platform.py                                                                41     21    49%
env/lib/python3.6/site-packages/amqp/protocol.py                                                                 4      0   100%
env/lib/python3.6/site-packages/amqp/sasl.py                                                                    90     58    36%
env/lib/python3.6/site-packages/amqp/serialization.py                                                          431    397     8%
env/lib/python3.6/site-packages/amqp/spec.py                                                                    81      0   100%
env/lib/python3.6/site-packages/amqp/transport.py                                                              284    237    17%
env/lib/python3.6/site-packages/amqp/utils.py                                                                   40     26    35%
env/lib/python3.6/site-packages/billiard/__init__.py                                                            20      2    90%
env/lib/python3.6/site-packages/billiard/compat.py                                                             166    119    28%
env/lib/python3.6/site-packages/billiard/context.py                                                            230    140    39%
env/lib/python3.6/site-packages/billiard/exceptions.py                                                          23     11    52%
env/lib/python3.6/site-packages/billiard/five.py                                                               111     76    32%
env/lib/python3.6/site-packages/billiard/process.py                                                            216    151    30%
env/lib/python3.6/site-packages/billiard/util.py                                                               111     73    34%
env/lib/python3.6/site-packages/bson/__init__.py                                                               570    417    27%
env/lib/python3.6/site-packages/bson/binary.py                                                                  56     20    64%
env/lib/python3.6/site-packages/bson/code.py                                                                    36     26    28%
env/lib/python3.6/site-packages/bson/codec_options.py                                                           85     38    55%
env/lib/python3.6/site-packages/bson/dbref.py                                                                   52     34    35%
env/lib/python3.6/site-packages/bson/decimal128.py                                                             133     89    33%
env/lib/python3.6/site-packages/bson/errors.py                                                                   6      0   100%
env/lib/python3.6/site-packages/bson/int64.py                                                                    6      0   100%
env/lib/python3.6/site-packages/bson/max_key.py                                                                 19      8    58%
env/lib/python3.6/site-packages/bson/min_key.py                                                                 19      8    58%
env/lib/python3.6/site-packages/bson/objectid.py                                                               114     52    54%
env/lib/python3.6/site-packages/bson/py3compat.py                                                               57     30    47%
env/lib/python3.6/site-packages/bson/raw_bson.py                                                                41     21    49%
env/lib/python3.6/site-packages/bson/regex.py                                                                   45     31    31%
env/lib/python3.6/site-packages/bson/son.py                                                                    122     38    69%
env/lib/python3.6/site-packages/bson/timestamp.py                                                               55     24    56%
env/lib/python3.6/site-packages/bson/tz_util.py                                                                 19      3    84%
env/lib/python3.6/site-packages/celery/__init__.py                                                              60     33    45%
env/lib/python3.6/site-packages/celery/_state.py                                                                64     19    70%
env/lib/python3.6/site-packages/celery/app/__init__.py                                                          28     17    39%
env/lib/python3.6/site-packages/celery/app/annotations.py                                                       33     20    39%
env/lib/python3.6/site-packages/celery/app/backends.py                                                          32     19    41%
env/lib/python3.6/site-packages/celery/app/base.py                                                             488    248    49%
env/lib/python3.6/site-packages/celery/app/builtins.py                                                          98     83    15%
env/lib/python3.6/site-packages/celery/app/defaults.py                                                          89     19    79%
env/lib/python3.6/site-packages/celery/app/registry.py                                                          33     15    55%
env/lib/python3.6/site-packages/celery/app/utils.py                                                            172    114    34%
env/lib/python3.6/site-packages/celery/exceptions.py                                                            74     24    68%
env/lib/python3.6/site-packages/celery/five.py                                                                   5      0   100%
env/lib/python3.6/site-packages/celery/fixups/__init__.py                                                        0      0   100%
env/lib/python3.6/site-packages/celery/fixups/django.py                                                        130     74    43%
env/lib/python3.6/site-packages/celery/loaders/__init__.py                                                       7      0   100%
env/lib/python3.6/site-packages/celery/loaders/app.py                                                            5      0   100%
env/lib/python3.6/site-packages/celery/loaders/base.py                                                         148     96    35%
env/lib/python3.6/site-packages/celery/local.py                                                                313    152    51%
env/lib/python3.6/site-packages/celery/platforms.py                                                            382    270    29%
env/lib/python3.6/site-packages/celery/signals.py                                                               36      0   100%
env/lib/python3.6/site-packages/celery/utils/__init__.py                                                        11      0   100%
env/lib/python3.6/site-packages/celery/utils/abstract.py                                                        19      6    68%
env/lib/python3.6/site-packages/celery/utils/collections.py                                                    460    297    35%
env/lib/python3.6/site-packages/celery/utils/dispatch/__init__.py                                                4      0   100%
env/lib/python3.6/site-packages/celery/utils/dispatch/signal.py                                                 34      5    85%
env/lib/python3.6/site-packages/celery/utils/encoding.py                                                         3      0   100%
env/lib/python3.6/site-packages/celery/utils/functional.py                                                     150    103    31%
env/lib/python3.6/site-packages/celery/utils/imports.py                                                         85     57    33%
env/lib/python3.6/site-packages/celery/utils/iso8601.py                                                         24     16    33%
env/lib/python3.6/site-packages/celery/utils/log.py                                                            145     77    47%
env/lib/python3.6/site-packages/celery/utils/nodenames.py                                                       44     21    52%
env/lib/python3.6/site-packages/celery/utils/objects.py                                                         48     25    48%
env/lib/python3.6/site-packages/celery/utils/serialization.py                                                  140     96    31%
env/lib/python3.6/site-packages/celery/utils/term.py                                                           112     51    54%
env/lib/python3.6/site-packages/celery/utils/text.py                                                            83     54    35%
env/lib/python3.6/site-packages/celery/utils/threads.py                                                        161    103    36%
env/lib/python3.6/site-packages/celery/utils/time.py                                                           193    130    33%
env/lib/python3.6/site-packages/certifi/__init__.py                                                              2      0   100%
env/lib/python3.6/site-packages/certifi/core.py                                                                  5      0   100%
env/lib/python3.6/site-packages/chardet/__init__.py                                                             11      7    36%
env/lib/python3.6/site-packages/chardet/big5freq.py                                                              3      0   100%
env/lib/python3.6/site-packages/chardet/big5prober.py                                                           14      6    57%
env/lib/python3.6/site-packages/chardet/chardistribution.py                                                    117     83    29%
env/lib/python3.6/site-packages/chardet/charsetgroupprober.py                                                   70     61    13%
env/lib/python3.6/site-packages/chardet/charsetprober.py                                                        50     36    28%
env/lib/python3.6/site-packages/chardet/codingstatemachine.py                                                   27     18    33%
env/lib/python3.6/site-packages/chardet/compat.py                                                               10      4    60%
env/lib/python3.6/site-packages/chardet/cp949prober.py                                                          14      6    57%
env/lib/python3.6/site-packages/chardet/enums.py                                                                34      1    97%
env/lib/python3.6/site-packages/chardet/escprober.py                                                            56     45    20%
env/lib/python3.6/site-packages/chardet/escsm.py                                                                17      0   100%
env/lib/python3.6/site-packages/chardet/eucjpprober.py                                                          47     34    28%
env/lib/python3.6/site-packages/chardet/euckrfreq.py                                                             3      0   100%
env/lib/python3.6/site-packages/chardet/euckrprober.py                                                          14      6    57%
env/lib/python3.6/site-packages/chardet/euctwfreq.py                                                             3      0   100%
env/lib/python3.6/site-packages/chardet/euctwprober.py                                                          14      6    57%
env/lib/python3.6/site-packages/chardet/gb2312freq.py                                                            3      0   100%
env/lib/python3.6/site-packages/chardet/gb2312prober.py                                                         14      6    57%
env/lib/python3.6/site-packages/chardet/hebrewprober.py                                                         74     48    35%
env/lib/python3.6/site-packages/chardet/jisfreq.py                                                               3      0   100%
env/lib/python3.6/site-packages/chardet/jpcntx.py                                                               80     61    24%
env/lib/python3.6/site-packages/chardet/langbulgarianmodel.py                                                    5      0   100%
env/lib/python3.6/site-packages/chardet/langcyrillicmodel.py                                                    13      0   100%
env/lib/python3.6/site-packages/chardet/langgreekmodel.py                                                        5      0   100%
env/lib/python3.6/site-packages/chardet/langhebrewmodel.py                                                       3      0   100%
env/lib/python3.6/site-packages/chardet/langthaimodel.py                                                         3      0   100%
env/lib/python3.6/site-packages/chardet/langturkishmodel.py                                                      3      0   100%
env/lib/python3.6/site-packages/chardet/latin1prober.py                                                         50     29    42%
env/lib/python3.6/site-packages/chardet/mbcharsetprober.py                                                      42     33    21%
env/lib/python3.6/site-packages/chardet/mbcsgroupprober.py                                                      14      3    79%
env/lib/python3.6/site-packages/chardet/mbcssm.py                                                               41      0   100%
env/lib/python3.6/site-packages/chardet/sbcharsetprober.py                                                      73     60    18%
env/lib/python3.6/site-packages/chardet/sbcsgroupprober.py                                                      19      8    58%
